Sr.No,Institute Name,Region,State,District,City,User Group,Location Display,Rating,Synthetic NIRF Rank,Short Description,Tag1,Tag2,Tag3,Ownership,Fees_Lakh,Fees_Display,Avg_Package_LPA,Avg_Package_Display,ROI_Score,Placement_Score,Faculty_Score,Campus_Score
1,IIT Bombay,West,Maharashtra,Mumbai,Mumbai,B.Tech,"Mumbai, Maharashtra",8.8,3,Top Engineering Institute with excellent placements,World-Class Infrastructure,High Placements,Research Focus,Government,8.75,₹8.75 Lakh,19.61,₹19.61 LPA,224.11,9.3,9.2,9.1
2,IIT Delhi,North,Delhi NCR,New Delhi,New Delhi,B.Tech,"New Delhi, Delhi NCR",8.8,2,Premier Engineering Institution with strong academic focus,Excellent Faculty,Central Location,National Institute,Government,8.66,₹8.66 Lakh,19.08,₹19.08 LPA,220.32,9.1,9.3,8.9
3,IIT Madras,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",8.7,1,Leading Engineering College with NIRF Rank 1,Research Excellence,Global Recognition,Industry Partnerships,Government,9.39,₹9.39 Lakh,17.5,₹17.50 LPA,186.37,8.8,9,8.7
4,IIT Kanpur,North,Uttar Pradesh,Kanpur,Kanpur,B.Tech,"Kanpur, Uttar Pradesh",8.9,4,Excellent research and academic culture,Strong Academics,Campus Life,Startup Ecosystem,Government,8.6,₹8.60 Lakh,19.4,₹19.40 LPA,225.58,9.2,9.1,9
5,IIT Kharagpur,East,West Bengal,Kharagpur,Kharagpur,B.Tech,"Kharagpur, West Bengal",8.5,5,Largest IIT with 2150 acres campus,Historic Institution,Extensive Facilities,Cultural Activities,Government,10.29,₹10.29 Lakh,19.76,₹19.76 LPA,192.03,8.9,8.8,9.2
6,IIT Roorkee,North,Uttarakhand,Roorkee,Roorkee,B.Tech,"Roorkee, Uttarakhand",8.5,6,Historic engineering institute with scenic campus,Beautiful Campus,Practical Learning,Older Legacy,Government,8.87,₹8.87 Lakh,17,₹17.00 LPA,191.66,8.7,8.9,9
7,IIT Guwahati,North-East,Assam,Guwahati,Guwahati,B.Tech,"Guwahati, Assam",8.6,7,Strong in Software placements,High Placements,Innovative Programs,Emerging Excellence,Government,9.04,₹9.04 Lakh,21.6,₹21.60 LPA,238.94,9,8.8,8.6
8,BITS Pilani,North-West,Rajasthan,Pilani,Pilani,B.Tech,"Pilani, Rajasthan",8.7,8,Private Engineering Institute with high standards,Private Excellence,Global Exposure,Startup Culture,Private,23.9,₹23.90 Lakh,18.2,₹18.20 LPA,76.15,8.6,8.7,8.5
9,IIT BHU Varanasi,North,Uttar Pradesh,Varanasi,Varanasi,B.Tech,"Varanasi, Uttar Pradesh",8.5,10,Highest ROI among IITs,Best ROI,Excellent Hostels,Historic City,Government,8.35,₹8.35 Lakh,20,₹20.00 LPA,239.52,8.9,8.7,8.8
10,IIT Hyderabad,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",8.5,9,Modern infrastructure with latest technology,Modern Campus,High Placements,Tech Hub,Government,9.17,₹9.17 Lakh,21,₹21.00 LPA,229.01,8.8,8.9,9
11,NIT Trichy,South,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,B.Tech,"Tiruchirappalli, Tamil Nadu",8.1,11,Top NIT with strong placements,Government NIT,Affordable Fees,Strong Academics,Government,6.38,₹6.38 Lakh,14.35,₹14.35 LPA,224.6,8,8.2,8.1
12,NITK Surathkal,South,Karnataka,Surathkal,Surathkal,B.Tech,"Surathkal, Karnataka",8.2,12,Leading NIT with excellent infrastructure,Strong Placements,Beachside Campus,Research Focus,Government,5.97,₹5.97 Lakh,24.56,₹24.56 LPA,411.45,8.3,8.1,8.2
13,ISM Dhanbad,East,Jharkhand,Dhanbad,Dhanbad,B.Tech,"Dhanbad, Jharkhand",8.3,13,Renowned mining and engineering institute,Historic Institution,Industry Links,Mineral Engineering,Government,9.26,₹9.26 Lakh,20.61,₹20.61 LPA,222.1,8.1,8.3,8
14,NIT Warangal,South,Telangana,Warangal,Warangal,B.Tech,"Warangal, Telangana",8.1,14,Strong in infrastructure and academics,Modern Facilities,Good Placements,Emerging Excellence,Government,5.43,₹5.43 Lakh,13.3,₹13.30 LPA,244.95,8,8.1,8
15,IIIT Hyderabad,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",8.1,15,Autonomous institute with cutting edge research,High Placements,Autonomous Status,Research Excellence,Government,4.5,₹4.50 Lakh,33.96,₹33.96 LPA,753.33,8.4,8.2,8
16,IISc Bangalore,South,Karnataka,Bangalore,Bangalore,M.Tech,"Bangalore, Karnataka",8.4,16,Top research institution in India,Research-Focused,WorldClass Faculty,Global Recognition,Government,2.21,₹2.21 Lakh,28,₹28.00 LPA,1266.06,9.5,9.3,8.9
17,IIT Mandi,North,Himachal Pradesh,Mandi,Mandi,B.Tech,"Mandi, Himachal Pradesh",8.1,17,Beautiful campus with strong academics,Scenic Location,Emerging Institute,Research Opportunities,Government,2.19,₹2.19 Lakh,25.23,₹25.23 LPA,1151.6,8.2,8,8.1
18,IIT Patna,East,Bihar,Patna,Patna,B.Tech,"Patna, Bihar",8.2,18,Newer IIT with good infrastructure,Modern Facilities,Growing Placements,Emerging Excellence,Government,2.73,₹2.73 Lakh,23.9,₹23.90 LPA,875.09,8.1,8,8.2
19,IIT Gandhinagar,West,Gujarat,Gandhinagar,Gandhinagar,B.Tech,"Gandhinagar, Gujarat",8.3,19,Newer IIT with strong academics,Modern Infrastructure,Research Oriented,Tech Hub,Government,2.29,₹2.29 Lakh,NA,NA,NA,8.2,8.1,8.3
20,MNNIT Allahabad,North,Uttar Pradesh,Allahabad,Allahabad,B.Tech,"Allahabad, Uttar Pradesh",8.2,20,Top NIT with strong academic tradition,Strong Academics,Good Placements,Historic NIT,Government,1.68,₹1.68 Lakh,20.43,₹20.43 LPA,1216.07,8,8.2,8.1
21,IIT Jodhpur,North-West,Rajasthan,Jodhpur,Jodhpur,B.Tech,"Jodhpur, Rajasthan",8.4,21,Emerging IIT with strong academics,Modern Campus,Good Placements,Rising Star,Government,2.55,₹2.55 Lakh,21.3,₹21.30 LPA,835.29,8.3,8.2,8.4
22,NSUT New Delhi,North,Delhi NCR,New Delhi,New Delhi,B.Tech,"New Delhi, Delhi NCR",7.7,22,Government college with good placements,Government Institute,Central Location,Affordable Fees,Government,2.5,₹2.50 Lakh,16.78,₹16.78 LPA,671.2,7.5,7.8,7.6
23,IIIT Allahabad,North,Uttar Pradesh,Allahabad,Allahabad,B.Tech,"Allahabad, Uttar Pradesh",8.3,23,Top IIIT with excellent placements,High Placements,IT Focus,Strong Academics,Government,2.27,₹2.27 Lakh,25.78,₹25.78 LPA,1134.3,8.2,8.3,8.2
24,NIT Calicut,South,Kerala,Calicut,Calicut,B.Tech,"Calicut, Kerala",8,24,Well-established NIT with good infrastructure,Strong Academics,Campus Life,Coastal Location,Government,2.12,₹2.12 Lakh,12.17,₹12.17 LPA,573.58,7.9,8,8
25,IIIT Bangalore,South,Karnataka,Bangalore,Bangalore,B.Tech,"Bangalore, Karnataka",8.2,25,Autonomous institute with high placements,High Placements,Tech Hub,Research Focus,Government,4.6,₹4.60 Lakh,21.8,₹21.80 LPA,473.91,8.3,8.1,8.2
26,BITS South Goa,West,Goa,South Goa,South Goa,B.Tech,"South Goa, Goa",8.3,26,BITS campus with excellent placements,Private Excellence,Global Exposure,Island Campus,Private,6.38,₹6.38 Lakh,20.9,₹20.90 LPA,327.27,8.2,8.4,8.3
27,BITS Hyderabad,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",8.5,27,BITS campus with strong placements,Private Excellence,Modern Facilities,Tech Hub,Private,6.38,₹6.38 Lakh,20.78,₹20.78 LPA,325.55,8.4,8.5,8.3
28,NIT Rourkela,East,Odisha,Rourkela,Rourkela,B.Tech,"Rourkela, Odisha",8.1,28,Established NIT with good academics,Strong Academics,Good Placements,Historic NIT,Government,1.78,₹1.78 Lakh,13.81,₹13.81 LPA,775.28,8,8.1,8
29,IIT Bhubaneswar,East,Odisha,Bhubaneswar,Bhubaneswar,B.Tech,"Bhubaneswar, Odisha",8.1,29,Newer IIT with modern infrastructure,Modern Facilities,Growing Placements,Emerging Excellence,Government,2.42,₹2.42 Lakh,16.98,₹16.98 LPA,701.65,8,8.1,8.1
30,Delhi Technological University,North,Delhi NCR,New Delhi,New Delhi,B.Tech,"New Delhi, Delhi NCR",8.2,30,Government engineering college with good placements,Government Institute,Central Location,Good Infrastructure,Government,2.48,₹2.48 Lakh,15.45,₹15.45 LPA,622.98,8,8.1,8.2
31,All India Institute of Medical Sciences Delhi,North,Delhi NCR,New Delhi,New Delhi,MBBS,"New Delhi, Delhi NCR",8.6,31,Top Medical College in India,Medical Excellence,High Placements,Premier Institute,Government,0,₹0 (Govt),0,₹0,0,8.5,8.6,8.7
32,CMC Vellore,South,Tamil Nadu,Vellore,Vellore,MBBS,"Vellore, Tamil Nadu",8.5,32,Oldest Medical College in South India,Medical Excellence,Historic Institution,Strong Faculty,Private,25,₹25 Lakh,0,₹0,0,8.4,8.5,8.6
33,SRM Medical College,South,Tamil Nadu,Chennai,Chennai,MBBS,"Chennai, Tamil Nadu",7.8,33,Private medical college with good infrastructure,Private Medical College,Modern Facilities,Good Placements,Private,17,₹17 Lakh,0,₹0,0,7.7,7.8,7.9
34,AIIMS Bhopal,Central,Madhya Pradesh,Bhopal,Bhopal,MBBS,"Bhopal, Madhya Pradesh",8.3,34,Government AIIMS with excellent infrastructure,Medical Excellence,Government Institute,Strong Faculty,Government,0,₹0 (Govt),0,₹0,0,8.2,8.3,8.4
35,Lady Hardinge Medical College,North,Delhi NCR,New Delhi,New Delhi,MBBS,"New Delhi, Delhi NCR",8.4,35,Prestigious medical college for women,Women's Medical College,Government Institute,Historic College,Government,0,₹0 (Govt),0,₹0,0,8.3,8.4,8.5
36,Govind Ballabh Pant Institute,North,Uttar Pradesh,Lucknow,Lucknow,MBBS,"Lucknow, Uttar Pradesh",8.1,36,Government medical college with good faculty,Government Institute,Affordable Education,Medical Research,Government,0,₹0 (Govt),0,₹0,0,8,8.1,8.2
37,IIM Ahmedabad,West,Gujarat,Ahmedabad,Ahmedabad,MBA,"Ahmedabad, Gujarat",9,37,Top Business School in India,Business Excellence,World Rankings,High Placements,Government,25,₹25 Lakh,30,₹30 LPA (avg),120,9.2,9.1,8.8
